date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:51:34	2607/2607	---MC-	200	added ('OK')	text/xml	date:Mon,%2025%20May%202020%2013:51:32%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fconcurso-de-history-channel%2F&format=xml	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed6312	(from https://www.nexosperu.com.pe/concurso-de-history-channel/)
08:51:34	49164/49164	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Jan%202019%2017:01:42%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2018/03/noticia00001.jpg	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2018/03/noticia00001.jpg	(from https://www.nexosperu.com.pe/concurso-de-history-channel/)
08:51:35	2538/2538	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:51:34%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Finnovacion-el-adn-de-nexos-peru%2F	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed9a60.json	(from https://www.nexosperu.com.pe/innovacion-el-adn-de-nexos-peru/)
08:51:36	2671/2671	---MC-	200	added ('OK')	text/xml	date:Mon,%2025%20May%202020%2013:51:35%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Finnovacion-el-adn-de-nexos-peru%2F&format=xml	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed27c8	(from https://www.nexosperu.com.pe/innovacion-el-adn-de-nexos-peru/)
08:51:36	5481/5481	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2010:59:56%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2017/04/team02-150x150.jpg	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2017/04/team02-150x150.jpg	(from https://www.nexosperu.com.pe/innovacion-el-adn-de-nexos-peru/)
08:51:38	2638/2638	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:51:36%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Flos-inventores-en-el-peru-si-existen-los-inventos-no%2F	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed2ca7.json	(from https://www.nexosperu.com.pe/los-inventores-en-el-peru-si-existen-los-inventos-no/)
08:51:38	38773/38773	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20May%202020%2013:51:37%20GMT	https://www.nexosperu.com.pe/author/drivera/	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/author/drivera/index.html	(from https://www.nexosperu.com.pe/innovacion-el-adn-de-nexos-peru/)
08:51:39	2771/2771	---MC-	200	added ('OK')	text/xml	date:Mon,%2025%20May%202020%2013:51:38%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Flos-inventores-en-el-peru-si-existen-los-inventos-no%2F&format=xml	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed7132	(from https://www.nexosperu.com.pe/los-inventores-en-el-peru-si-existen-los-inventos-no/)
08:51:40	2640/2640	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:51:39%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fpor-actividades-extractivas-amigables-con-el-medio-ambiente%2F	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed09ff.json	(from https://www.nexosperu.com.pe/por-actividades-extractivas-amigables-con-el-medio-ambiente/)
08:51:41	2773/2773	---MC-	200	added ('OK')	text/xml	date:Mon,%2025%20May%202020%2013:51:40%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fpor-actividades-extractivas-amigables-con-el-medio-ambiente%2F&format=xml	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embedbd23	(from https://www.nexosperu.com.pe/por-actividades-extractivas-amigables-con-el-medio-ambiente/)
08:51:42	177376/177376	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2010:46:56%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00c06.jpg	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00c06.jpg	(from https://www.nexosperu.com.pe/por-actividades-extractivas-amigables-con-el-medio-ambiente/)
08:51:42	2683/2683	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:51:41%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fcampamentos-mineros-pret-a-porter-el-futuro-de-los-sistemas-modulares%2F	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embeda4f6.json	(from https://www.nexosperu.com.pe/campamentos-mineros-pret-a-porter-el-futuro-de-los-sistemas-modulares/)
08:51:43	2816/2816	---MC-	200	added ('OK')	text/xml	date:Mon,%2025%20May%202020%2013:51:42%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fcampamentos-mineros-pret-a-porter-el-futuro-de-los-sistemas-modulares%2F&format=xml	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embede6b4	(from https://www.nexosperu.com.pe/campamentos-mineros-pret-a-porter-el-futuro-de-los-sistemas-modulares/)
08:51:45	89414/89414	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2010:47:07%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00c05.jpg	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00c05.jpg	(from https://www.nexosperu.com.pe/campamentos-mineros-pret-a-porter-el-futuro-de-los-sistemas-modulares/)
